iter	MultiClass
0	1.088829109
1	1.080073479
2	1.072142044
3	1.065293149
4	1.058637573
5	1.052897957
6	1.047814907
7	1.04308171
8	1.038410587
9	1.034309302
10	1.030380961
11	1.027070954
12	1.023838732
13	1.020856431
14	1.018213508
15	1.015809897
16	1.013394402
17	1.011260358
18	1.009104988
19	1.00708844
20	1.005148438
21	1.003505909
22	1.001729437
23	0.9999648545
24	0.9985739258
25	0.9972388895
26	0.9957680584
27	0.9946785815
28	0.9937457493
29	0.9928108122
30	0.9916360528
31	0.990793233
32	0.9900841972
33	0.9892412266
34	0.988378807
35	0.9874775244
36	0.9867890239
37	0.9861825899
38	0.9853408799
39	0.9845057916
40	0.9838306957
41	0.9831551088
42	0.9825064887
43	0.9818877618
44	0.9812708606
45	0.9808823288
46	0.9802815143
47	0.9797929665
48	0.9793366678
49	0.9788284433
50	0.9784470712
51	0.9779341144
52	0.9773372185
53	0.9768874059
54	0.9764958117
55	0.9760558697
56	0.9755392017
57	0.974931668
58	0.9741584563
59	0.9738348927
60	0.9735177802
61	0.973099018
62	0.9726156743
63	0.9722021191
64	0.9717220225
65	0.9713278375
66	0.9709301586
67	0.9704284834
68	0.9699476488
69	0.9694530074
70	0.9688760856
71	0.968625871
72	0.9681347332
73	0.9678530633
74	0.9674922937
75	0.9671465882
76	0.9669031066
77	0.9666498512
78	0.9663621936
79	0.9659139201
80	0.9655156052
81	0.9650696097
82	0.964736746
83	0.9645150442
84	0.9640456816
85	0.9638454934
86	0.9635073189
87	0.9629726009
88	0.962656777
89	0.9623741777
90	0.9620962573
91	0.961882126
92	0.9616322348
93	0.9614169667
94	0.9611144351
95	0.9608820415
96	0.9606210083
97	0.9601900702
98	0.9599640295
99	0.9596672674
100	0.9593298507
101	0.9592494289
102	0.9588969723
103	0.9586400261
104	0.958324372
105	0.957987513
106	0.957694681
107	0.9571494598
108	0.9568982914
109	0.956512417
110	0.9562992594
111	0.9559100252
112	0.9556765618
113	0.9554376591
114	0.9551654397
115	0.954724315
116	0.9541663633
117	0.9539549083
118	0.9536884635
119	0.9533963191
120	0.9531721162
121	0.9528991225
122	0.9526217333
123	0.952178367
124	0.9518938729
125	0.9514253722
126	0.9511990631
127	0.950751955
128	0.9505081645
129	0.9502010713
130	0.9497527007
131	0.949339644
132	0.9490701779
133	0.9486681291
134	0.9483569052
135	0.9478602807
136	0.9476303049
137	0.947449078
138	0.947153676
139	0.9469399269
140	0.9467429279
141	0.9462591769
142	0.9460316528
143	0.9457494029
144	0.9454866131
145	0.945270475
146	0.9451490495
147	0.9447072551
148	0.944423294
149	0.9442011125
150	0.9438429686
151	0.9435277771
152	0.9432870249
153	0.942844931
154	0.9423965687
155	0.9421476312
156	0.94177252
157	0.9414587498
158	0.9411225171
159	0.9406453244
160	0.9402580914
161	0.9398858252
162	0.9396728391
163	0.9393657666
164	0.9389031403
165	0.9385624621
166	0.9381651566
167	0.9380170809
168	0.9378158958
169	0.9373874575
170	0.9371877832
171	0.9369884651
172	0.9367096119
173	0.9364435123
174	0.9363066444
175	0.9360255006
176	0.9356970537
177	0.9353717113
178	0.9351856034
179	0.9349487019
180	0.9343920698
181	0.933838022
182	0.9336095035
183	0.9332482186
184	0.9329993986
185	0.9325540556
186	0.9323025539
187	0.9320139928
188	0.9318026051
189	0.9314467554
190	0.9312450821
191	0.9308549471
192	0.9304528501
193	0.9299989209
194	0.9297095714
195	0.9293563765
196	0.9290131861
197	0.9286925259
198	0.928472307
199	0.9281858934
200	0.9278167588
201	0.9274995753
202	0.9272100159
203	0.9268977094
204	0.926657651
205	0.9262852635
206	0.9258875063
207	0.9253826757
208	0.9251134625
209	0.9247803099
210	0.9244610454
211	0.9241766095
212	0.9237612847
213	0.9234190893
214	0.9229677444
215	0.9226978458
216	0.9224773401
217	0.921997076
218	0.9217106198
219	0.9213657912
220	0.9210346353
221	0.9208010801
222	0.9205636342
223	0.9202541027
224	0.919957832
225	0.9195166405
226	0.9193042737
227	0.9188347916
228	0.9185756792
229	0.9183285495
230	0.9180647905
231	0.9178331859
232	0.9174108049
233	0.917127786
234	0.9166964644
235	0.9163568902
236	0.9160453614
237	0.9157540678
238	0.9153012562
239	0.9150672005
240	0.9147096104
241	0.9144826057
242	0.914136335
243	0.9137978887
244	0.9136781408
245	0.9134157039
246	0.912934972
247	0.9125415368
248	0.912302589
249	0.9119835008
250	0.9116478141
251	0.911310694
252	0.9110539724
253	0.9106575019
254	0.9103990166
255	0.9099776832
256	0.9097011922
257	0.9094147432
258	0.9091439994
259	0.9087834488
260	0.9084147663
261	0.9081110447
262	0.9078181627
263	0.907537489
264	0.9071710048
265	0.9067594892
266	0.9064126272
267	0.9060814557
268	0.9057542847
269	0.9054378477
270	0.9051412488
271	0.9046488474
272	0.9044484899
273	0.9041656881
274	0.9038275168
275	0.9034963267
276	0.9031825455
277	0.902898661
278	0.9024796896
279	0.902260174
280	0.9020014313
281	0.9016808012
282	0.9012759407
283	0.9010115626
284	0.9006349105
285	0.9002161829
286	0.8997441585
287	0.8995030163
288	0.8991439036
289	0.8988425157
290	0.8985945008
291	0.8981275798
292	0.8978809663
293	0.897519157
294	0.897324143
295	0.8969976322
296	0.8966366055
297	0.8962974623
298	0.8958976876
299	0.8955866173
300	0.8953179159
301	0.8950470282
302	0.8946975095
303	0.894306687
304	0.8940686594
305	0.8936756804
306	0.8934151048
307	0.8930821806
308	0.8927391719
309	0.8923060976
310	0.8919414506
311	0.8915489588
312	0.891229589
313	0.890877296
314	0.8906495186
315	0.8903637201
316	0.8900379621
317	0.8898439302
318	0.8894710573
319	0.8892170588
320	0.8890425741
321	0.8888010047
322	0.88841148
323	0.8879356922
324	0.8875115281
325	0.8872571522
326	0.8869660164
327	0.8867509871
328	0.8865475797
329	0.8862815571
330	0.8860237442
331	0.8857609097
332	0.8855242803
333	0.8852915052
334	0.8849679185
335	0.8846305484
336	0.8844105391
337	0.8841540245
338	0.8838130463
339	0.8835038565
340	0.8832447127
341	0.8828630226
342	0.8826598578
343	0.8823964707
344	0.8821361442
345	0.8817528683
346	0.8815838083
347	0.8813504183
348	0.881025903
349	0.8808665477
350	0.8806367422
351	0.8804100956
352	0.8801437901
353	0.8797538791
354	0.879566515
355	0.87922089
356	0.8789772386
357	0.8786438504
358	0.8783632399
359	0.8780137475
360	0.8776612746
361	0.8772423717
362	0.8768830197
363	0.8767234987
364	0.8764792937
365	0.8763006406
366	0.8760227879
367	0.8757148382
368	0.8754333877
369	0.8751477264
370	0.8748988078
371	0.8745728337
372	0.8742323585
373	0.8740044008
374	0.8736086158
375	0.8732874432
376	0.872937949
377	0.8726592159
378	0.8722571244
379	0.8719872452
380	0.8718031378
381	0.8714981526
382	0.8711922472
383	0.8710231994
384	0.8707630098
385	0.8705099784
386	0.8702944681
387	0.8699966784
388	0.8697431067
389	0.8694806761
390	0.8691523403
391	0.8688472311
392	0.8684221237
393	0.8680739931
394	0.867719382
395	0.8674422306
396	0.8672484985
397	0.8669927464
398	0.8666277199
399	0.8662212302
400	0.8659708149
401	0.8656637672
402	0.8654179601
403	0.8652407375
404	0.864868613
405	0.8646256436
406	0.8642403947
407	0.8639657812
408	0.8637382021
409	0.8634386081
410	0.8631617356
411	0.8628429335
412	0.8624299109
413	0.8620103299
414	0.8616449656
415	0.861323925
416	0.8609978655
417	0.8608318275
418	0.8604835788
419	0.8603309049
420	0.8600795757
421	0.8598506412
422	0.8597272573
423	0.859490407
424	0.859195172
425	0.8588316469
426	0.8586760451
427	0.8582876875
428	0.8580800532
429	0.8577519884
430	0.8575279834
431	0.8572134674
432	0.856924487
433	0.8564296335
434	0.8561521216
435	0.8559448116
436	0.8556440826
437	0.8553635998
438	0.8550424197
439	0.8548510167
440	0.8546730229
441	0.8544332001
442	0.854289133
443	0.8541099373
444	0.8538407218
445	0.8535209646
446	0.8532176504
447	0.8530068741
448	0.8526101764
449	0.8524166757
450	0.8520675401
451	0.8518035937
452	0.8516329515
453	0.8513381428
454	0.8509351966
455	0.8505870053
456	0.8501967247
457	0.8499798394
458	0.8496825584
459	0.8494681976
460	0.8491972514
461	0.848944734
462	0.8486509776
463	0.8484750771
464	0.8482551006
465	0.8479174433
466	0.8477182381
467	0.8474647022
468	0.8472944158
469	0.847023969
470	0.8468569562
471	0.8467009662
472	0.8463975235
473	0.8462418678
474	0.8459993588
475	0.8457521595
476	0.8455130161
477	0.8452213228
478	0.8449963077
479	0.8447403989
480	0.8443807593
481	0.8441421204
482	0.843874042
483	0.8435770892
484	0.8432106218
485	0.8429524797
486	0.8424872296
487	0.8422314667
488	0.8419625968
489	0.8416809814
490	0.8415020134
491	0.8410751486
492	0.8407491478
493	0.8405586293
494	0.8402285289
495	0.8400178347
496	0.8397785255
497	0.8395004186
498	0.8392391359
499	0.8388549409
