iter	Passed	Remaining
0	157	78557
1	160	40033
2	163	27141
3	166	20706
4	170	16867
5	173	14283
6	176	12435
7	179	11063
8	182	9975
9	185	9107
10	189	8409
11	192	7815
12	195	7322
13	198	6893
14	202	6553
15	205	6225
16	209	5939
17	212	5685
18	215	5457
19	218	5255
20	222	5066
21	225	4894
22	228	4740
23	231	4598
24	235	4465
25	238	4341
26	241	4225
27	244	4115
28	247	4014
29	250	3920
30	255	3865
31	263	3849
32	268	3795
33	271	3727
34	275	3664
35	280	3611
36	284	3556
37	288	3505
38	292	3458
39	296	3413
40	300	3360
41	303	3310
42	306	3259
43	309	3211
44	312	3164
45	316	3120
46	320	3089
47	323	3048
48	326	3009
49	330	2970
50	333	2934
51	336	2899
52	340	2875
53	350	2891
54	356	2881
55	360	2859
56	365	2841
57	370	2820
58	374	2800
59	378	2776
60	382	2752
61	386	2729
62	389	2704
63	393	2679
64	397	2658
65	400	2632
66	403	2609
67	406	2585
68	410	2563
69	414	2544
70	417	2521
71	421	2503
72	424	2482
73	427	2462
74	430	2440
75	433	2420
76	436	2399
77	440	2383
78	444	2366
79	447	2348
80	450	2331
81	453	2313
82	457	2297
83	460	2281
84	464	2266
85	467	2252
86	471	2238
87	475	2224
88	478	2209
89	481	2193
90	484	2179
91	488	2167
92	492	2157
93	496	2146
94	500	2134
95	503	2120
96	506	2105
97	510	2092
98	513	2078
99	516	2064
100	519	2050
101	522	2036
102	525	2023
103	528	2011
104	531	1998
105	534	1988
106	538	1976
107	541	1964
108	544	1952
109	547	1940
110	550	1930
111	553	1918
112	556	1906
113	559	1895
114	563	1887
115	567	1878
116	571	1869
117	574	1859
118	577	1849
119	580	1839
120	583	1828
121	587	1819
122	590	1810
123	594	1802
124	598	1796
125	602	1789
126	606	1781
127	610	1773
128	613	1763
129	616	1754
130	619	1745
131	622	1735
132	625	1726
133	628	1717
134	632	1708
135	635	1700
136	638	1691
137	641	1682
138	644	1674
139	648	1666
140	651	1657
141	654	1648
142	657	1642
143	661	1635
144	664	1628
145	668	1620
146	671	1612
147	674	1604
148	677	1596
149	680	1588
150	683	1580
151	687	1573
152	690	1565
153	693	1557
154	696	1550
155	699	1543
156	703	1537
157	707	1530
158	709	1522
159	713	1515
160	716	1508
161	719	1501
162	722	1494
163	725	1487
164	729	1480
165	732	1473
166	735	1466
167	738	1459
168	741	1452
169	744	1446
170	748	1439
171	751	1432
172	754	1425
173	757	1419
174	760	1412
175	763	1405
176	766	1399
177	770	1392
178	772	1386
179	776	1379
180	779	1373
181	782	1366
182	785	1360
183	788	1354
184	791	1347
185	794	1342
186	798	1335
187	801	1329
188	804	1324
189	807	1318
190	811	1312
191	814	1306
192	817	1300
193	820	1294
194	823	1288
195	827	1282
196	830	1276
197	833	1271
198	836	1265
199	839	1259
200	842	1253
201	846	1248
202	849	1242
203	852	1236
204	855	1231
205	858	1225
206	862	1220
207	865	1214
208	867	1208
209	870	1202
210	874	1197
211	877	1192
212	881	1187
213	884	1182
214	888	1177
215	891	1172
216	895	1167
217	898	1162
218	902	1158
219	906	1153
220	909	1148
221	913	1143
222	916	1138
223	920	1134
224	924	1129
225	927	1124
226	930	1118
227	933	1113
228	936	1108
229	939	1102
230	942	1097
231	945	1091
232	948	1086
233	951	1081
234	954	1076
235	957	1071
236	960	1066
237	963	1061
238	967	1056
239	970	1051
240	974	1046
241	977	1041
242	980	1037
243	983	1032
244	987	1027
245	990	1022
246	993	1017
247	997	1013
248	1001	1009
249	1004	1004
250	1008	1000
251	1011	995
252	1014	990
253	1018	985
254	1021	981
255	1024	976
256	1028	972
257	1032	968
258	1035	963
259	1038	958
260	1041	953
261	1044	948
262	1047	944
263	1050	939
264	1053	934
265	1057	929
266	1060	925
267	1062	920
268	1066	915
269	1069	910
270	1072	906
271	1075	901
272	1078	896
273	1081	892
274	1084	887
275	1088	883
276	1091	878
277	1094	874
278	1097	869
279	1100	864
280	1103	860
281	1107	855
282	1110	851
283	1113	846
284	1116	842
285	1120	838
286	1123	833
287	1126	829
288	1129	824
289	1131	819
290	1135	815
291	1138	810
292	1141	806
293	1144	801
294	1147	797
295	1150	792
296	1153	788
297	1156	784
298	1159	779
299	1162	775
300	1165	770
301	1168	766
302	1171	761
303	1175	757
304	1178	753
305	1181	749
306	1184	744
307	1187	740
308	1190	736
309	1193	731
310	1197	727
311	1200	723
312	1203	719
313	1206	714
314	1209	710
315	1213	706
316	1216	702
317	1220	698
318	1224	694
319	1228	691
320	1233	687
321	1237	684
322	1241	680
323	1246	677
324	1250	673
325	1255	669
326	1259	666
327	1263	662
328	1268	659
329	1272	655
330	1277	652
331	1281	648
332	1285	644
333	1289	641
334	1294	637
335	1298	633
336	1302	630
337	1307	626
338	1311	622
339	1315	619
340	1319	615
341	1324	611
342	1328	607
343	1332	604
344	1336	600
345	1340	596
346	1344	592
347	1348	589
348	1352	585
349	1355	581
350	1359	577
351	1363	573
352	1366	569
353	1369	564
354	1372	560
355	1375	556
356	1378	552
357	1381	548
358	1385	544
359	1388	539
360	1391	535
361	1394	531
362	1398	527
363	1401	523
364	1404	519
365	1407	515
366	1410	511
367	1414	507
368	1417	503
369	1421	499
370	1424	495
371	1427	491
372	1430	486
373	1433	482
374	1436	478
375	1439	474
376	1442	470
377	1445	466
378	1448	462
379	1451	458
380	1455	454
381	1459	450
382	1462	446
383	1465	442
384	1468	438
385	1471	434
386	1474	430
387	1477	426
388	1481	422
389	1484	418
390	1487	414
391	1491	411
392	1496	407
393	1500	403
394	1503	399
395	1506	395
396	1510	391
397	1513	387
398	1517	384
399	1521	380
400	1524	376
401	1527	372
402	1530	368
403	1534	364
404	1537	360
405	1540	356
406	1544	352
407	1547	348
408	1550	345
409	1553	341
410	1557	337
411	1560	333
412	1563	329
413	1566	325
414	1570	321
415	1573	317
416	1576	313
417	1580	310
418	1583	306
419	1587	302
420	1590	298
421	1593	294
422	1596	290
423	1600	286
424	1603	283
425	1606	279
426	1610	275
427	1613	271
428	1616	267
429	1619	263
430	1623	259
431	1627	256
432	1630	252
