smoothing,form_matches,home_advantage,k_factor,accuracy,logloss
3,5,55,30,0.5293195359046723,0.9834686479757891
3,5,70,30,0.5293195359046723,0.9834705786453434
5,5,85,30,0.5288491690185012,0.9836576012481025
3,5,40,30,0.5288491690185011,0.9834864271101843
3,5,85,30,0.528849169018501,0.9834743610950644
5,5,70,30,0.5286923800564441,0.9836447643145138
5,5,55,30,0.5285355910943871,0.9836513574170667
5,5,40,30,0.5285355910943869,0.9836650192368973
7,5,85,30,0.5275948573220445,0.9839163468569397
7,5,70,30,0.5274380683599874,0.9839087679186491
7,5,55,30,0.5272812793979303,0.9839236704475072
7,5,40,30,0.5271244904358733,0.9839185522500945
10,5,55,30,0.5271244904358733,0.9842817139801862
10,5,85,20,0.5271244904358733,0.9855559485185847
10,5,85,30,0.5269677014738162,0.9843132005963905
5,5,55,20,0.5269677014738162,0.9847179373015104
5,5,70,20,0.5269677014738162,0.9847467778782462
5,5,85,20,0.5269677014738162,0.9847847358528372
10,5,55,20,0.5269677014738162,0.9854770021622103
10,5,70,20,0.5269677014738162,0.9855017729529747
3,7,85,20,0.5268109125117592,0.984219503508605
7,5,85,20,0.5266541235497022,0.9851191361087451
3,7,55,20,0.5266541235497021,0.9841609094985309
10,5,40,30,0.5266541235497021,0.9843088389133765
5,3,55,30,0.5266541235497021,0.9843514537896966
5,5,40,20,0.5266541235497021,0.9847050260923145
7,5,40,20,0.5266541235497021,0.9850308086854005
5,3,70,30,0.526497334587645,0.9843512340662383
3,5,40,20,0.526497334587645,0.9844346185055409
3,5,85,20,0.526497334587645,0.98450979951309
5,7,70,30,0.526340545625588,0.9834144835218983
10,5,70,30,0.526340545625588,0.9842986192535589
5,3,85,30,0.526340545625588,0.984360641618629
5,3,40,30,0.526340545625588,0.9843633197596766
3,5,70,20,0.526340545625588,0.9844749681201771
7,5,55,20,0.526340545625588,0.9850218673427075
10,5,40,20,0.526340545625588,0.9854823376481819
3,7,85,30,0.5263405456255879,0.9832515075307792
3,7,55,30,0.5261837566635309,0.9832556131437201
3,7,40,30,0.5261837566635309,0.9832620003703189
5,7,40,30,0.5261837566635309,0.9834425894748934
7,7,70,30,0.5261837566635309,0.9836437628398117
7,7,55,30,0.5261837566635309,0.9836478124418274
3,7,70,20,0.5261837566635309,0.9841922145376968
3,5,55,20,0.5261837566635309,0.9844567145600287
5,7,55,30,0.5260269677014738,0.983413250974173
7,7,85,30,0.5260269677014738,0.9836519785286232
3,7,40,20,0.5260269677014738,0.9841522407241352
7,3,70,30,0.5260269677014738,0.9846285039241263
7,5,70,20,0.5260269677014738,0.9850735140872128
5,7,85,30,0.5258701787394168,0.9834397318727919
10,7,85,30,0.5258701787394168,0.9840272597537384
7,3,55,30,0.5258701787394168,0.984617614457833
7,3,85,30,0.5258701787394168,0.9846376903374866
10,7,55,20,0.5258701787394168,0.9851287855025411
3,3,85,20,0.5258701787394168,0.9852824303086535
3,7,70,30,0.5258701787394167,0.9832491494079784
10,7,40,30,0.5257133897773597,0.9840193467794741
10,7,70,30,0.5257133897773597,0.9840195825898775
3,3,55,30,0.5257133897773597,0.9841182588279193
7,3,40,30,0.5257133897773597,0.9846071340183425
10,7,70,20,0.5257133897773597,0.9851602415621854
7,7,40,30,0.5257133897773596,0.9836476817954622
3,3,70,30,0.5253998118532456,0.9841292610244418
3,3,40,30,0.5253998118532456,0.9841310502118685
3,3,85,30,0.5253998118532456,0.984147085725653
10,7,40,20,0.5253998118532456,0.9851120827636137
10,7,85,20,0.5253998118532456,0.9851969772921638
3,3,70,20,0.5253998118532456,0.9852368998116384
10,7,55,30,0.5253998118532455,0.9840135118150464
7,7,40,20,0.5252430228911885,0.984687679759832
3,3,55,20,0.5252430228911885,0.9852265334544467
5,3,55,20,0.5252430228911885,0.9855353404684036
5,7,70,20,0.5252430228911884,0.9844397899331891
7,7,55,20,0.5252430228911884,0.9846952998962584
5,7,40,20,0.5250862339291315,0.9843975638278764
7,7,70,20,0.5250862339291315,0.9847333496831059
5,3,40,20,0.5250862339291315,0.9855072995015804
5,3,85,20,0.5250862339291315,0.9856104101203392
7,3,40,20,0.5250862339291315,0.985873880780944
7,3,70,20,0.5250862339291315,0.9859340480508764
5,7,55,20,0.5250862339291313,0.984412273528294
7,7,85,20,0.5249294449670744,0.9847789597637034
5,3,70,20,0.5249294449670744,0.9855627452482668
7,3,55,20,0.5249294449670744,0.985898485621216
7,3,85,20,0.5249294449670744,0.9859683366701105
10,3,40,30,0.5247726560050173,0.9850573446520956
5,7,85,20,0.5247726560050172,0.9844749366859267
3,3,40,20,0.5246158670429603,0.9851927601489465
10,3,70,30,0.52461586704296,0.9850809098126451
10,3,40,20,0.5244590780809031,0.9864130997726255
10,3,85,30,0.524459078080903,0.9850584575501106
10,3,70,20,0.524302289118846,0.9864681326619271
10,3,85,20,0.524302289118846,0.9865289054235098
10,3,55,30,0.5243022891188459,0.9850760666558119
5,5,55,10,0.5239887111947318,0.9874540959979781
10,3,55,20,0.5238319222326748,0.9864032017435456
3,5,40,10,0.5238319222326748,0.9870211996302505
3,5,55,10,0.5236751332706178,0.9870656466804215
7,5,70,10,0.5236751332706178,0.987915282093425
7,5,85,10,0.5236751332706178,0.9879773391936354
3,5,70,10,0.5235183443085607,0.9871074127065554
3,5,85,10,0.5235183443085607,0.9871526619193925
5,5,40,10,0.5233615553465035,0.9874075507399732
3,7,40,10,0.5232047663844466,0.9866280555320589
7,5,55,10,0.5232047663844465,0.987865023040796
3,7,55,10,0.5230479774223895,0.9866552526141198
3,7,70,10,0.5230479774223895,0.986703058010649
5,5,70,10,0.5230479774223894,0.9874903996712495
5,5,85,10,0.5230479774223894,0.9875486600653628
7,5,40,10,0.5230479774223894,0.9878332032913693
10,5,85,10,0.5227343994982754,0.9886206381501542
10,5,70,10,0.5225776105362182,0.9885397120576997
10,3,55,10,0.5225776105362182,0.9897108417419291
3,7,85,10,0.5224208215741611,0.98676253972458
10,5,55,10,0.5224208215741611,0.9885168651033234
10,3,70,10,0.5224208215741611,0.9897266472986711
10,5,40,10,0.5222640326121042,0.9884755467467707
10,3,85,10,0.5222640326121041,0.9897946021134659
10,3,40,10,0.52195045468799,0.9896639131382131
5,7,40,10,0.5217936657259329,0.9869949442518396
5,7,70,10,0.5217936657259329,0.9870476935419078
10,7,40,10,0.5217936657259329,0.9879406265535727
10,7,70,10,0.5217936657259329,0.9880247785325649
5,7,55,10,0.5216368767638758,0.9870172606222561
10,7,55,10,0.5216368767638758,0.9879779026322902
7,3,85,10,0.5216368767638758,0.989091199328922
5,7,85,10,0.5214800878018188,0.9871123794739408
7,7,40,10,0.5214800878018188,0.9873572561487736
7,7,55,10,0.5214800878018188,0.9874283523754811
10,7,85,10,0.5214800878018188,0.9881009127537569
5,3,85,10,0.5214800878018188,0.9885742748591859
7,7,70,10,0.5213232988397617,0.9874577645015951
7,7,85,10,0.5213232988397617,0.9875021120147798
7,3,40,10,0.5213232988397617,0.9889325464023201
7,3,55,10,0.5213232988397617,0.9889479485469682
7,3,70,10,0.5213232988397617,0.9890173851692383
5,3,70,10,0.5210097209156476,0.9885061249430501
3,3,85,10,0.5208529319535905,0.9881133403365222
5,3,40,10,0.5208529319535905,0.9884112979732657
3,3,70,10,0.5206961429915334,0.9880570553278122
5,3,55,10,0.5206961429915334,0.9884640392921261
3,3,40,10,0.5206961429915333,0.9879779942278173
3,3,55,10,0.5206961429915333,0.9880046446415797
